athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Chung Kiu Yau,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Hin Chan,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingwei Weng,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chak Fung Lam,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lok Yin Law,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Han Lidu,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lijun Zu,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongyi Qiao,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuyi Liu,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2017_10_15_Chun'An_10km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Wilimovsky,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachlan Colquhoun,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,,10/21/2017,FINA World Cup,"Hong Kong, CHN",10,NW,Neutral,66,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
